date,code,name,volume,open,high,low,close,source_asset
20180102,4916,事欣科,384100,35.35,35.65,35.20,35.55,yearly_2018.zip
20180103,4916,事欣科,709113,35.55,36.15,35.55,36.00,yearly_2018.zip
20180104,4916,事欣科,478000,36.20,36.20,35.65,35.70,yearly_2018.zip
20180105,4916,事欣科,1677926,35.80,36.65,35.80,36.50,yearly_2018.zip
20180108,4916,事欣科,837381,36.60,36.65,35.80,35.80,yearly_2018.zip
20180109,4916,事欣科,416220,36.00,36.10,35.55,35.55,yearly_2018.zip
20180110,4916,事欣科,669755,36.20,36.20,35.05,35.05,yearly_2018.zip
20180111,4916,事欣科,275742,35.20,35.40,35.00,35.20,yearly_2018.zip
20180112,4916,事欣科,265600,35.60,35.60,35.20,35.40,yearly_2018.zip
20180115,4916,事欣科,283258,35.45,35.50,35.20,35.20,yearly_2018.zip
20180116,4916,事欣科,238800,35.40,35.75,35.20,35.50,yearly_2018.zip
20180117,4916,事欣科,1070300,35.90,36.50,35.70,36.00,yearly_2018.zip
20180118,4916,事欣科,502001,36.25,36.30,35.60,35.70,yearly_2018.zip
20180119,4916,事欣科,508701,35.75,35.75,35.20,35.20,yearly_2018.zip
20180122,4916,事欣科,629201,35.20,35.30,34.95,35.15,yearly_2018.zip
20180123,4916,事欣科,421300,35.30,35.60,35.00,35.40,yearly_2018.zip
20180124,4916,事欣科,375232,35.50,35.50,35.05,35.05,yearly_2018.zip
20180125,4916,事欣科,590300,35.10,35.25,34.80,34.80,yearly_2018.zip
20180126,4916,事欣科,239815,34.75,35.15,34.65,35.00,yearly_2018.zip
20180129,4916,事欣科,480200,35.10,35.30,34.35,34.40,yearly_2018.zip
20180130,4916,事欣科,480153,34.40,34.50,33.90,33.90,yearly_2018.zip
20180131,4916,事欣科,279844,33.80,34.40,33.75,34.00,yearly_2018.zip
20180201,4916,事欣科,461677,34.50,35.20,34.20,34.75,yearly_2018.zip
20180202,4916,事欣科,2130900,35.50,36.05,35.00,35.00,yearly_2018.zip
20180205,4916,事欣科,481644,34.30,34.65,33.80,34.65,yearly_2018.zip
20180206,4916,事欣科,1209205,33.75,33.80,31.35,31.90,yearly_2018.zip
20180207,4916,事欣科,459904,32.40,33.00,32.40,33.00,yearly_2018.zip
20180208,4916,事欣科,374685,33.60,33.60,33.20,33.20,yearly_2018.zip
20180209,4916,事欣科,748501,31.15,32.60,31.10,31.90,yearly_2018.zip
20180212,4916,事欣科,298910,32.55,32.55,31.85,31.90,yearly_2018.zip
20180221,4916,事欣科,310492,32.50,33.00,32.50,32.50,yearly_2018.zip
20180222,4916,事欣科,394300,32.70,33.45,32.60,33.15,yearly_2018.zip
20180223,4916,事欣科,386264,33.20,33.90,33.20,33.60,yearly_2018.zip
20180226,4916,事欣科,238731,33.65,34.00,33.40,33.50,yearly_2018.zip
20180227,4916,事欣科,197764,33.60,33.70,33.10,33.15,yearly_2018.zip
20180301,4916,事欣科,166300,33.00,33.65,33.00,33.60,yearly_2018.zip
20180302,4916,事欣科,260101,33.55,33.95,33.50,33.80,yearly_2018.zip
20180305,4916,事欣科,193536,33.65,33.95,33.35,33.35,yearly_2018.zip
20180306,4916,事欣科,196553,33.45,33.45,33.20,33.20,yearly_2018.zip
20180307,4916,事欣科,786600,33.45,34.50,33.40,34.40,yearly_2018.zip
20180308,4916,事欣科,572238,34.95,34.95,33.90,33.90,yearly_2018.zip
20180309,4916,事欣科,1099650,34.80,35.20,34.40,34.60,yearly_2018.zip
20180312,4916,事欣科,2955600,36.00,37.10,35.40,35.45,yearly_2018.zip
20180313,4916,事欣科,751700,35.45,35.70,35.30,35.35,yearly_2018.zip
20180314,4916,事欣科,656244,35.35,36.35,35.35,35.55,yearly_2018.zip
20180315,4916,事欣科,333683,35.65,35.90,35.35,35.35,yearly_2018.zip
20180316,4916,事欣科,449178,35.45,35.55,34.90,35.00,yearly_2018.zip
20180319,4916,事欣科,697186,35.20,36.20,35.15,35.50,yearly_2018.zip
20180320,4916,事欣科,357515,35.40,35.50,34.85,35.15,yearly_2018.zip
20180321,4916,事欣科,217975,35.50,35.50,35.05,35.05,yearly_2018.zip
20180322,4916,事欣科,576100,35.20,35.65,34.40,34.45,yearly_2018.zip
20180323,4916,事欣科,741991,33.50,34.50,33.20,34.35,yearly_2018.zip
20180326,4916,事欣科,358600,34.80,34.80,33.75,34.20,yearly_2018.zip
20180327,4916,事欣科,463689,34.30,34.60,34.00,34.10,yearly_2018.zip
20180328,4916,事欣科,239521,34.05,34.10,33.70,33.75,yearly_2018.zip
20180329,4916,事欣科,301157,33.85,33.95,33.35,33.55,yearly_2018.zip
20180330,4916,事欣科,172349,33.70,33.90,33.60,33.65,yearly_2018.zip
20180331,4916,事欣科,151600,33.80,33.80,33.40,33.40,yearly_2018.zip
20180402,4916,事欣科,131709,33.40,33.70,33.30,33.55,yearly_2018.zip
20180403,4916,事欣科,258126,33.50,33.95,33.30,33.70,yearly_2018.zip
20180409,4916,事欣科,406530,33.85,34.30,33.85,34.10,yearly_2018.zip
20180410,4916,事欣科,764464,34.45,35.10,34.30,34.90,yearly_2018.zip
20180411,4916,事欣科,3211198,37.60,38.35,37.60,38.35,yearly_2018.zip
20180412,4916,事欣科,9145232,39.80,39.85,37.50,37.65,yearly_2018.zip
20180413,4916,事欣科,2525149,37.40,37.65,36.25,36.25,yearly_2018.zip
20180416,4916,事欣科,760198,36.10,36.80,36.00,36.05,yearly_2018.zip
20180417,4916,事欣科,3429498,37.00,38.40,36.10,36.10,yearly_2018.zip
20180418,4916,事欣科,1222346,36.20,37.50,35.95,36.50,yearly_2018.zip
20180419,4916,事欣科,878500,36.80,37.35,36.35,36.35,yearly_2018.zip
20180420,4916,事欣科,641871,36.50,36.75,36.10,36.40,yearly_2018.zip
20180423,4916,事欣科,1044800,36.50,36.60,35.20,35.20,yearly_2018.zip
20180424,4916,事欣科,761392,35.50,35.50,34.30,34.30,yearly_2018.zip
20180425,4916,事欣科,461056,33.60,34.80,33.60,34.40,yearly_2018.zip
20180426,4916,事欣科,776128,35.00,35.00,33.30,33.40,yearly_2018.zip
20180427,4916,事欣科,296601,33.80,34.00,33.40,33.90,yearly_2018.zip
20180430,4916,事欣科,755164,34.00,35.00,33.65,34.85,yearly_2018.zip
20180502,4916,事欣科,1730189,35.75,36.30,35.30,35.65,yearly_2018.zip
20180503,4916,事欣科,1076910,36.10,36.30,35.50,36.15,yearly_2018.zip
20180504,4916,事欣科,597700,36.40,36.50,35.65,36.05,yearly_2018.zip
20180507,4916,事欣科,980100,36.80,36.80,36.20,36.40,yearly_2018.zip
20180508,4916,事欣科,870200,36.50,36.95,36.40,36.55,yearly_2018.zip
20180509,4916,事欣科,1403439,37.45,37.50,36.10,36.10,yearly_2018.zip
20180510,4916,事欣科,603748,36.50,36.60,35.85,36.05,yearly_2018.zip
20180511,4916,事欣科,743321,36.15,36.15,35.30,35.45,yearly_2018.zip
20180514,4916,事欣科,1928404,35.25,37.80,35.25,37.20,yearly_2018.zip
20180515,4916,事欣科,5368703,39.00,39.40,36.55,36.55,yearly_2018.zip
20180516,4916,事欣科,923300,36.40,36.90,36.00,36.00,yearly_2018.zip
20180517,4916,事欣科,481400,36.30,36.35,36.00,36.00,yearly_2018.zip
20180518,4916,事欣科,1517400,36.30,37.70,36.30,36.60,yearly_2018.zip
20180521,4916,事欣科,583100,36.60,37.05,36.30,36.60,yearly_2018.zip
20180522,4916,事欣科,466639,36.95,36.95,36.40,36.40,yearly_2018.zip
20180523,4916,事欣科,686600,36.60,36.60,35.85,35.85,yearly_2018.zip
20180524,4916,事欣科,332501,36.35,36.35,35.85,35.90,yearly_2018.zip
20180525,4916,事欣科,525900,36.00,36.60,36.00,36.40,yearly_2018.zip
20180528,4916,事欣科,677101,36.80,37.10,36.45,36.50,yearly_2018.zip
20180529,4916,事欣科,4022271,36.75,38.70,36.40,37.95,yearly_2018.zip
20180530,4916,事欣科,1872509,38.00,38.00,37.00,37.90,yearly_2018.zip
20180531,4916,事欣科,4220502,39.00,39.80,37.80,37.80,yearly_2018.zip
20180601,4916,事欣科,993503,38.00,38.35,37.25,37.35,yearly_2018.zip
20180604,4916,事欣科,557200,37.40,37.90,37.35,37.50,yearly_2018.zip
20180605,4916,事欣科,635360,37.65,37.75,37.00,37.00,yearly_2018.zip
20180606,4916,事欣科,518718,37.20,37.55,37.00,37.40,yearly_2018.zip
20180607,4916,事欣科,1889501,37.70,38.80,37.30,38.70,yearly_2018.zip
20180608,4916,事欣科,3623738,38.60,40.15,38.50,38.55,yearly_2018.zip
20180611,4916,事欣科,4231985,38.60,40.10,38.55,39.20,yearly_2018.zip
20180612,4916,事欣科,3860701,39.95,41.00,38.85,38.95,yearly_2018.zip
20180613,4916,事欣科,1608900,39.35,39.45,38.15,38.40,yearly_2018.zip
20180614,4916,事欣科,730799,38.60,39.20,38.15,38.25,yearly_2018.zip
20180615,4916,事欣科,546200,38.80,38.95,38.20,38.30,yearly_2018.zip
20180619,4916,事欣科,826705,38.35,38.80,37.70,37.70,yearly_2018.zip
20180620,4916,事欣科,1055607,37.60,38.30,36.10,36.85,yearly_2018.zip
20180621,4916,事欣科,354376,37.05,37.75,37.05,37.50,yearly_2018.zip
20180622,4916,事欣科,579900,37.50,38.00,37.10,37.75,yearly_2018.zip
20180625,4916,事欣科,638501,37.80,37.80,36.60,36.70,yearly_2018.zip
