date,code,name,volume,open,high,low,close,source_asset,cumulative_factor,adj_open,adj_high,adj_low,adj_close,adj_qa
20180102,4916,事欣科,384100,35.35,35.65,35.20,35.55,yearly_2018.zip,0.7799610309,27.571622,27.805611,27.454628,27.727615,OK
20180103,4916,事欣科,709113,35.55,36.15,35.55,36.00,yearly_2018.zip,0.7799610309,27.727615,28.195591,27.727615,28.078597,OK
20180104,4916,事欣科,478000,36.20,36.20,35.65,35.70,yearly_2018.zip,0.7799610309,28.234589,28.234589,27.805611,27.844609,OK
20180105,4916,事欣科,1677926,35.80,36.65,35.80,36.50,yearly_2018.zip,0.7799610309,27.922605,28.585572,27.922605,28.468578,OK
20180108,4916,事欣科,837381,36.60,36.65,35.80,35.80,yearly_2018.zip,0.7799610309,28.546574,28.585572,27.922605,27.922605,OK
20180109,4916,事欣科,416220,36.00,36.10,35.55,35.55,yearly_2018.zip,0.7799610309,28.078597,28.156593,27.727615,27.727615,OK
20180110,4916,事欣科,669755,36.20,36.20,35.05,35.05,yearly_2018.zip,0.7799610309,28.234589,28.234589,27.337634,27.337634,OK
20180111,4916,事欣科,275742,35.20,35.40,35.00,35.20,yearly_2018.zip,0.7799610309,27.454628,27.610620,27.298636,27.454628,OK
20180112,4916,事欣科,265600,35.60,35.60,35.20,35.40,yearly_2018.zip,0.7799610309,27.766613,27.766613,27.454628,27.610620,OK
20180115,4916,事欣科,283258,35.45,35.50,35.20,35.20,yearly_2018.zip,0.7799610309,27.649619,27.688617,27.454628,27.454628,OK
20180116,4916,事欣科,238800,35.40,35.75,35.20,35.50,yearly_2018.zip,0.7799610309,27.610620,27.883607,27.454628,27.688617,OK
20180117,4916,事欣科,1070300,35.90,36.50,35.70,36.00,yearly_2018.zip,0.7799610309,28.000601,28.468578,27.844609,28.078597,OK
20180118,4916,事欣科,502001,36.25,36.30,35.60,35.70,yearly_2018.zip,0.7799610309,28.273587,28.312585,27.766613,27.844609,OK
20180119,4916,事欣科,508701,35.75,35.75,35.20,35.20,yearly_2018.zip,0.7799610309,27.883607,27.883607,27.454628,27.454628,OK
20180122,4916,事欣科,629201,35.20,35.30,34.95,35.15,yearly_2018.zip,0.7799610309,27.454628,27.532624,27.259638,27.415630,OK
20180123,4916,事欣科,421300,35.30,35.60,35.00,35.40,yearly_2018.zip,0.7799610309,27.532624,27.766613,27.298636,27.610620,OK
20180124,4916,事欣科,375232,35.50,35.50,35.05,35.05,yearly_2018.zip,0.7799610309,27.688617,27.688617,27.337634,27.337634,OK
20180125,4916,事欣科,590300,35.10,35.25,34.80,34.80,yearly_2018.zip,0.7799610309,27.376632,27.493626,27.142644,27.142644,OK
20180126,4916,事欣科,239815,34.75,35.15,34.65,35.00,yearly_2018.zip,0.7799610309,27.103646,27.415630,27.025650,27.298636,OK
20180129,4916,事欣科,480200,35.10,35.30,34.35,34.40,yearly_2018.zip,0.7799610309,27.376632,27.532624,26.791661,26.830659,OK
20180130,4916,事欣科,480153,34.40,34.50,33.90,33.90,yearly_2018.zip,0.7799610309,26.830659,26.908656,26.440679,26.440679,OK
20180131,4916,事欣科,279844,33.80,34.40,33.75,34.00,yearly_2018.zip,0.7799610309,26.362683,26.830659,26.323685,26.518675,OK
20180201,4916,事欣科,461677,34.50,35.20,34.20,34.75,yearly_2018.zip,0.7799610309,26.908656,27.454628,26.674667,27.103646,OK
20180202,4916,事欣科,2130900,35.50,36.05,35.00,35.00,yearly_2018.zip,0.7799610309,27.688617,28.117595,27.298636,27.298636,OK
20180205,4916,事欣科,481644,34.30,34.65,33.80,34.65,yearly_2018.zip,0.7799610309,26.752663,27.025650,26.362683,27.025650,OK
20180206,4916,事欣科,1209205,33.75,33.80,31.35,31.90,yearly_2018.zip,0.7799610309,26.323685,26.362683,24.451778,24.880757,OK
20180207,4916,事欣科,459904,32.40,33.00,32.40,33.00,yearly_2018.zip,0.7799610309,25.270737,25.738714,25.270737,25.738714,OK
20180208,4916,事欣科,374685,33.60,33.60,33.20,33.20,yearly_2018.zip,0.7799610309,26.206691,26.206691,25.894706,25.894706,OK
20180209,4916,事欣科,748501,31.15,32.60,31.10,31.90,yearly_2018.zip,0.7799610309,24.295786,25.426730,24.256788,24.880757,OK
20180212,4916,事欣科,298910,32.55,32.55,31.85,31.90,yearly_2018.zip,0.7799610309,25.387732,25.387732,24.841759,24.880757,OK
20180221,4916,事欣科,310492,32.50,33.00,32.50,32.50,yearly_2018.zip,0.7799610309,25.348734,25.738714,25.348734,25.348734,OK
20180222,4916,事欣科,394300,32.70,33.45,32.60,33.15,yearly_2018.zip,0.7799610309,25.504726,26.089696,25.426730,25.855708,OK
20180223,4916,事欣科,386264,33.20,33.90,33.20,33.60,yearly_2018.zip,0.7799610309,25.894706,26.440679,25.894706,26.206691,OK
20180226,4916,事欣科,238731,33.65,34.00,33.40,33.50,yearly_2018.zip,0.7799610309,26.245689,26.518675,26.050698,26.128695,OK
20180227,4916,事欣科,197764,33.60,33.70,33.10,33.15,yearly_2018.zip,0.7799610309,26.206691,26.284687,25.816710,25.855708,OK
20180301,4916,事欣科,166300,33.00,33.65,33.00,33.60,yearly_2018.zip,0.7799610309,25.738714,26.245689,25.738714,26.206691,OK
20180302,4916,事欣科,260101,33.55,33.95,33.50,33.80,yearly_2018.zip,0.7799610309,26.167693,26.479677,26.128695,26.362683,OK
20180305,4916,事欣科,193536,33.65,33.95,33.35,33.35,yearly_2018.zip,0.7799610309,26.245689,26.479677,26.011700,26.011700,OK
