actual_previous_close,code,derived_reference_price,event_date,event_factor,expected_previous_close,name,previous_close_match,previous_trade_date,reference_match,reference_price,status
203.00,3665,196.17,20180802,0.9663546798,203,貿聯-KY,True,20180801,True,196.17,PASS
248.00,3665,240.50,20190802,0.9697580645,248,貿聯-KY,True,20190801,True,240.50,PASS
217.50,3665,208.50,20200715,0.9586206897,217.5,貿聯-KY,True,20200714,True,208.5,PASS
272.00,3665,263.97,20210708,0.9704779412,272,貿聯-KY,True,20210707,True,263.97,PASS
315.50,3665,306.05,20220714,0.9700475436,315.5,貿聯-KY,True,20220713,True,306.05,PASS
309.50,3665,296.74,20230725,0.9587722132,309.5,貿聯-KY,True,20230724,True,296.74,PASS
388.00,3665,379.22,20240723,0.9773711340,388,貿聯-KY,True,20240722,True,379.22,PASS
882.00,3665,862.96,20250717,0.9784126984,882,貿聯-KY,True,20250716,True,862.96,PASS
1775.00,3665,1759.82,20260715,0.9914478873,1775,貿聯-KY,True,20260714,True,1759.82,PASS
35.35,4916,34.36,20180816,0.9719943423,35.35,事欣科,True,20180815,True,34.36,PASS
36.15,4916,33.67,20190704,0.9313969571,36.15,事欣科,True,20190703,True,33.67,PASS
28.25,4916,26.25,20200702,0.9292035398,28.25,事欣科,True,20200701,True,26.25,PASS
23.60,4916,23.10,20210812,0.9788135593,23.60,事欣科,True,20210811,True,23.10,PASS
26.25,4916,25.75,20220817,0.9809523810,26.25,事欣科,True,20220816,True,25.75,PASS
42.75,4916,42.37,20230630,0.9911111111,42.75,事欣科,True,20230629,True,42.37,PASS
32.50,4916,32.10,20240729,0.9876923077,32.50,事欣科,True,20240726,True,32.10,PASS
47.15,4916,46.77,20250728,0.9919406151,47.15,事欣科,True,20250725,True,46.77,PASS
90.20,4916,89.70,20260730,0.9944567627,90.20,事欣科,True,20260729,True,89.70,PASS
57.10,6770,55.90,20220224,0.9789842382,57.10,力積電,True,20220223,True,55.90,PASS
35.05,6770,34.30,20220823,0.9786019971,35.05,力積電,True,20220822,True,34.30,PASS
34.45,6770,34.15,20230313,0.9912917271,34.45,力積電,True,20230310,True,34.15,PASS
