code,name,rows,expected_rows,count_match,first_date,expected_start,last_date,expected_end,date_match,duplicate_rows,null_or_non_numeric_rows,ohlc_logic_bad_rows,date_boundary_bad_rows,pass
0050,元大台灣50,2089,2092,False,20180102,20180102,20260817,20260817,True,0,0,0,0,False
00400A,主動國泰動能高息,89,90,False,20260409,20260409,20260817,20260817,True,0,0,0,0,False
009820,元大納斯達克精選,79,80,False,20260423,20260423,20260817,20260817,True,0,0,0,0,False
2207,和泰車,2093,2097,False,20180102,20180102,20260817,20260817,True,0,0,0,0,False
2308,台達電,2094,2097,False,20180102,20180102,20260817,20260817,True,0,0,0,0,False
2317,鴻海,2087,2091,False,20180102,20180102,20260817,20260817,True,0,0,0,0,False
2330,台積電,2094,2097,False,20180102,20180102,20260817,20260817,True,0,0,0,0,False
2368,金像電,2087,2090,False,20180102,20180102,20260817,20260817,True,0,0,0,0,False
2376,技嘉,2094,2097,False,20180102,20180102,20260817,20260817,True,0,0,0,0,False
2382,廣達,2094,2097,False,20180102,20180102,20260817,20260817,True,0,0,0,0,False
2383,台光電,2094,2097,False,20180102,20180102,20260817,20260817,True,0,0,0,0,False
2454,聯發科,2094,2097,False,20180102,20180102,20260817,20260817,True,0,0,0,0,False
2634,漢翔,2094,2097,False,20180102,20180102,20260817,20260817,True,0,0,0,0,False
2834,臺企銀,2094,2097,False,20180102,20180102,20260817,20260817,True,0,0,0,0,False
2885,元大金,2094,2097,False,20180102,20180102,20260817,20260817,True,0,0,0,0,False
3293,鈊象,2097,2097,True,20180102,20180102,20260817,20260817,True,0,0,0,0,True
3491,昇達科,2095,2097,False,20180102,20180102,20260817,20260817,True,0,0,0,0,False
3665,貿聯-KY,2092,2092,True,20180102,20180102,20260817,20260817,True,0,0,0,0,True
4916,事欣科,2094,2094,True,20180102,20180102,20260817,20260817,True,0,0,0,0,True
6770,力積電,1135,1135,True,20211206,20211206,20260817,20260817,True,0,0,0,0,True
